Date,Area,Site,Colony,Upwelling,Bleaching ,Bleaching Level,Lipid
Aug-14,South Lagoon,35,5,Yes,No,0,0.015660165
Aug-14,South Lagoon,35,15,Yes,No,0,0.115975616
Aug-14,South Lagoon,35,87,Yes,No,0,0.017818061
Aug-14,North Shore,38,188_971,Yes,No,0,0.029123007
Jan-15,South Lagoon,8,63,Yes,No,0,0.066618145
Jan-15,North Lagoon,27,474,Yes,No,0,0.04420739
Jan-15,North Lagoon,27,476,Yes,Yes,1,0.104125591
Jan-15,North Lagoon,30,126_682,Yes,Yes,1,0.038735984
Jan-15,South Lagoon,35,1,Yes,Yes,1,0.04941795
Jan-15,South Lagoon,35,5,Yes,No,0,0.198012395
Jan-15,South Lagoon,35,15,Yes,No,0,0.276386359
Jan-15,South Lagoon,35,97,Yes,Yes,1,0.154001663
May-15,Vaskes Bay,5,818,No,No,0,0.019238391
May-15,Vaskes Bay,5,821,No,No,0,NA
May-15,Vaskes Bay,5,827,No,Yes,1,NA
May-15,Vaskes Bay,5,831,No,Yes,1,NA
May-15,Vaskes Bay,5,794_946,No,No,0,0.048483268
May-15,Vaskes Bay,5,834_947,No,No,0,0.039332653
May-15,South Lagoon,8,63,Yes,No,0,0.233413864
May-15,South Lagoon,8,717,Yes,No,0,0.028373241
May-15,Bay of Wrecks,15,591,No,No,0,0.096618483
May-15,Bay of Wrecks,15,596,No,No,0,0.045812349
May-15,Bay of Wrecks,19,650,No,Yes,1,0.043969937
May-15,Bay of Wrecks,19,666,No,No,0,0.162112103
May-15,Bay of Wrecks,19,677,No,No,0,0.119224887
May-15,North Lagoon,30,430,Yes,No,0,0.04216053
May-15,North Lagoon,30,441,Yes,No,0,0.065922658
May-15,North Lagoon,32,489,Yes,Yes,1,NA
May-15,North Lagoon,32,499,Yes,No,0,0.089898846
May-15,North Lagoon,32,753,Yes,No,0,0.040833955
May-15,South Lagoon,34,842,Yes,No,0,0.048378125
May-15,South Lagoon,34,847,Yes,No,0,0.087239961
May-15,South Lagoon,34,853,Yes,No,0,0.112564338
May-15,South Lagoon,35,1,Yes,No,0,NA
May-15,South Lagoon,35,5,Yes,No,0,0.080244214
May-15,South Lagoon,35,87,Yes,No,0,0.040956878
May-15,South Lagoon,35,97,Yes,No,0,0.091640191
Jul-15,Vaskes Bay,5,818,No,Yes,1,0.049064031
Jul-15,Vaskes Bay,5,821,No,Yes,1,0.014954544
Jul-15,Vaskes Bay,5,827,No,No,0,0.052205083
Jul-15,Vaskes Bay,5,831,No,No,0,0.027207251
Jul-15,Vaskes Bay,5,839,No,Yes,1,0.014689583
Jul-15,Vaskes Bay,5,794_946,No,Yes,1,0.077689455
Jul-15,Vaskes Bay,5,834_947,No,Yes,1,0.074845668
Jul-15,South Lagoon,8,63,Yes,No,0,0.063296236
Jul-15,South Lagoon,8,241,Yes,No,0,0.054363038
Jul-15,South Lagoon,8,717,Yes,Yes,1,0.037394481
Jul-15,South Lagoon,8,884,Yes,No,0,0.098527658
Jul-15,South Lagoon,8,886,Yes,Yes,2,0.052095139
Jul-15,South Lagoon,8,888,Yes,Yes,2,0.113880235
Jul-15,Bay of Wrecks,15,578,No,Yes,1,0.057609839
Jul-15,Bay of Wrecks,15,591,No,Yes,1,0.073188649
Jul-15,Bay of Wrecks,15,596,No,Yes,1,0.052299947
Jul-15,Bay of Wrecks,19,650,No,Yes,2,0.061797167
Jul-15,North Lagoon,27,474,Yes,Yes,1,0.056665716
Jul-15,North Lagoon,27,476,Yes,Yes,1,0.02452459
Jul-15,North Lagoon,27,723,Yes,Yes,1,0.047465198
Jul-15,North Lagoon,30,151,Yes,Yes,1,0.007767337
Jul-15,North Lagoon,30,430,Yes,No,0,NA
Jul-15,North Lagoon,30,441,Yes,Yes,1,0.018395591
Jul-15,North Lagoon,32,489,Yes,Yes,1,0.088785173
Jul-15,North Lagoon,32,499,Yes,Yes,1,0.198714389
Jul-15,North Lagoon,32,752,Yes,Yes,2,0.0213128
Jul-15,North Lagoon,32,753,Yes,Yes,1,0.119202278
Jul-15,South Lagoon,34,314,Yes,No,0,0.404252734
Jul-15,South Lagoon,34,842,Yes,No,0,0.111166216
Jul-15,South Lagoon,34,847,Yes,Yes,1,0.040472739
Jul-15,South Lagoon,34,853,Yes,No,0,0.110524364
Jul-15,South Lagoon,35,1,Yes,Yes,3,NA
Jul-15,South Lagoon,35,5,Yes,Yes,1,0.083227346
Jul-15,South Lagoon,35,15,Yes,No,0,NA
Jul-15,South Lagoon,35,87,Yes,No,0,0.073626715
Jul-15,South Lagoon,35,97,Yes,No,0,NA
Jul-15,North Shore,38,32,Yes,Yes,1,0.079709711
Jul-15,North Shore,38,194,Yes,Yes,1,0.035996469
Jul-15,North Shore,38,197,Yes,No,0,0.130648775
Jul-15,North Shore,38,188_971,Yes,Yes,1,0.018284291
Jul-15,Bay of Wrecks,19,677,No,No,0,0.11447137
Mar-16,Vaskes Bay,5,816,No,Yes,2,NA
Mar-16,Vaskes Bay,5,818,No,Yes,3,0.011247859
Mar-16,Vaskes Bay,5,821,No,Yes,3,0.0215239
Mar-16,Vaskes Bay,5,827,No,Yes,3,0.03878129
Mar-16,Vaskes Bay,5,831,No,No,0,0.027367228
Mar-16,Vaskes Bay,5,839,No,Yes,3,0.052182212
Mar-16,Vaskes Bay,5,794_946,No,Yes,3,0.013227209
Mar-16,Vaskes Bay,5,834_947,No,Yes,3,0.06394165
Mar-16,South Lagoon,8,63,Yes,Yes,2,0.10596478
Mar-16,South Lagoon,8,886,Yes,Yes,2,0.04691385
Mar-16,Bay of Wrecks,15,578,No,Yes,3,0.008578377
Mar-16,Bay of Wrecks,15,585,No,Yes,3,0.018829964
Mar-16,Bay of Wrecks,15,591,No,Yes,3,NA
Mar-16,North Lagoon,27,723,Yes,Yes,2,0.056947608
Mar-16,North Lagoon,30,151,Yes,Yes,1,0.031418578
Mar-16,North Lagoon,30,441,Yes,Yes,1,0.012874409
Mar-16,North Lagoon,32,499,Yes,Yes,3,0.042434974
Mar-16,South Lagoon,34,314,Yes,No,0,0.296523078
Mar-16,South Lagoon,34,853,Yes,Yes,1,0.06747569
Mar-16,South Lagoon,35,1,Yes,Yes,1,0.061541802
Mar-16,South Lagoon,35,5,Yes,Yes,3,NA
Mar-16,South Lagoon,35,15,Yes,Yes,1,0.161327749
Mar-16,South Lagoon,35,87,Yes,Yes,2,0.026843025
Mar-16,North Shore,38,194,Yes,Yes,1,0.085916421
Mar-16,North Shore,38,197,Yes,Yes,2,0.135333482
Mar-16,North Shore,38,188_971,Yes,Yes,3,0.027771063
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
